3 4.125 2.525 5.275 4.125 2.425 1.55 4.075 1.625 5.275
4 2 2.5 3.125 6.15 3.075 0.8 5.675 3 3.675
5 1.15 3.575 2.775 6.175 3.275 0.275 6 5.6 2.175
